SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
368,Tamil Nadu,Sriperumbudur,Baalu.T.R.,GEN,GEN,DMK,Rising Sun,507955
369,Tamil Nadu,Tirunelveli,GNANATHIRAVIAM S,GEN,GEN,DMK,Rising Sun,185720
370,Tamil Nadu,Kancheepuram ,Selvam.G,SC,SC,DMK,Rising Sun,286632
371,Tamil Nadu,Kanniyakumari,Vasanthakumar. H,GEN,GEN,INC,Hand,259933
372,Tamil Nadu,Arakkonam,S. JAGATHRAKSHAKAN,GEN,GEN,DMK,Rising Sun,328956
373,Tamil Nadu,Krishnagiri,Dr.A.CHELLAKUMAR,GEN,GEN,INC,Hand,156765
374,Tamil Nadu,Dharmapuri,DNV SENTHILKUMAR. S.,GEN,GEN,DMK,Rising Sun,70753
375,Tamil Nadu,Tiruvannamalai,ANNADURAI C N,GEN,GEN,DMK,Rising Sun,304187
376,Tamil Nadu,Arani,VISHNU PRASAD M K,GEN,GEN,INC,Hand,230806
377,Tamil Nadu,Viluppuram,RAVIKUMAR D,SC,SC,DMK,Rising Sun,128068
378,Tamil Nadu,Kallakurichi,Gautham Sigamani Pon,GEN,GEN,DMK,Rising Sun,399919
379,Tamil Nadu,Salem,PARTHIBAN.S.R,GEN,GEN,DMK,Rising Sun,146926
380,Tamil Nadu,Namakkal,CHINRAJ A.K.P,GEN,GEN,DMK,Rising Sun,265151
381,Tamil Nadu,Erode,GANESHAMURTHI A,GEN,GEN,DMK,Rising Sun,210618
382,Tamil Nadu,Tiruppur,"SUBBARAYAN, K.",GEN,GEN,CPI,Ears of Corn And Sickle,93368
383,Tamil Nadu,Nilgiris ,"RAJA, A.",SC,SC,DMK,Rising Sun,205823
384,Tamil Nadu,Coimbatore,NATARAJAN. P.R,GEN,GEN,CPIM,"Hammer, Sickle and Star",179143
385,Tamil Nadu,Pollachi,SHANMUGA SUNDARAM. K,GEN,GEN,DMK,Rising Sun,175883
386,Tamil Nadu,Dindigul,"VELUSAMY, P.",GEN,GEN,DMK,Rising Sun,538972
387,Tamil Nadu,Karur,Jothimani S,GEN,GEN,INC,Hand,420546
388,Tamil Nadu,Tiruchirappalli,Thirunavukkarasar. SU,GEN,GEN,INC,Hand,459286
389,Tamil Nadu,Perambalur,"Dr.PAARIVENDHAR, T. R",GEN,GEN,DMK,Rising Sun,403518
390,Tamil Nadu,Cuddalore ,T. R. V .S. RAMESH,GEN,GEN,DMK,Rising Sun,143983
391,Tamil Nadu,Chidambaram ,THIRUMAAVALAVAN THOL,SC,SC,VCK,Pot,3219
392,Tamil Nadu,Mayiladuthurai,RAMALINGAM. S,GEN,GEN,DMK,Rising Sun,261314
393,Tamil Nadu,Nagapattinam ,SELVARAJ M,SC,SC,CPI,Ears of Corn And Sickle,211353
394,Tamil Nadu,Thanjavur,"PALANIMANICKAM,S.S.",GEN,GEN,DMK,Rising Sun,368129
395,Tamil Nadu,Sivaganga,KARTI P CHIDAMBARAM,GEN,GEN,INC,Hand,332244
396,Tamil Nadu,Madurai,VENKATESAN S,GEN,GEN,CPIM,"Hammer, Sickle and Star",139395
397,Telangana,Adilabad ,SOYAM BAPU RAO,ST,ST,BJP,Lotus,58560
398,Telangana,Peddapalle ,Venkatesh Netha Borlakunta,SC,SC,TRS,Car,95180
399,Telangana,Karimnagar ,BANDI SANJAY KUMAR,GEN,GEN,BJP,Lotus,89508
400,Telangana,Nizamabad,ARVIND DHARMAPURI,GEN,GEN,BJP,Lotus,70875
401,Telangana,Zahirabad,B.B.PATIL,GEN,GEN,TRS,Car,6229
402,Telangana,Medak,Kotha Prabhakar Reddy,GEN,GEN,TRS,Car,316427
403,Telangana,Malkajgiri,ANUMULA REVANTH REDDY,GEN,GEN,INC,Hand,10919
404,Telangana,Secundrabad,G . KISHAN REDDY,GEN,GEN,BJP,Lotus,62114
405,Telangana,Hyderabad,ASADUDDIN OWAISI,GEN,GEN,AIMIM,Kite,282186
406,Telangana,CHEVELLA,Dr. G. Ranjith Reddy,GEN,GEN,TRS,Car,14317
407,Telangana,Mahbubnagar,MANNE SRINIVAS REDDY,GEN,GEN,TRS,Car,77829
408,Telangana,Nagarkurnool,POTHUGANTI RAMULU,SC,SC,TRS,Car,189748
409,Telangana,Nalgonda,UTTAM KUMAR REDDY NALAMADA,GEN,GEN,INC,Hand,25682
410,Telangana,Bhongir ,Komati Reddy Venkat Reddy,GEN,GEN,INC,Hand,5219
411,Telangana,Warangal,DAYAKAR PASUNOORI,SC,SC,TRS,Car,350298
412,Telangana,Mahabubabad  ,Kavitha Malothu,ST,ST,TRS,Car,146663
413,Telangana,Khammam ,NAMA NAGESWR RAO,GEN,GEN,TRS,Car,168062
414,Tripura,Tripura West,Pratima Bhoumik,GEN,GEN,BJP,Lotus,305689
415,Tripura,Tripura East,Rebati Tripura,ST,ST,BJP,Lotus,204290
416,Uttar Pradesh,Aonla,DHARMENDRA KASHYAP,GEN,GEN,BJP,Lotus,113743
417,Uttar Pradesh,Bahraich,AKSHAIBAR LAL,SC,SC,BJP,Lotus,128752
418,Uttar Pradesh,Bareilly,SANTOSH KUMAR GANGWAR,GEN,GEN,BJP,Lotus,167282
419,Uttar Pradesh,Kaiserganj,Brijbhusan Sharan Singh,GEN,GEN,BJP,Lotus,261601
420,Uttar Pradesh,Pilibhit,Feroze Varun Gandhi,GEN,GEN,BJP,Lotus,255627
421,Uttar Pradesh,Shrawasti,RAM SHIROMANI,GEN,GEN,BSP,Elephant,5320
422,Uttar Pradesh,Shahjahanpur,Arun Kumar Sagar,SC,SC,BJP,Lotus,268418
423,Uttar Pradesh,Gonda,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,GEN,GEN,BJP,Lotus,166360
424,Uttar Pradesh,Kheri,Ajay Kumar,GEN,GEN,BJP,Lotus,218807
425,Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,GEN,GEN,BJP,Lotus,105321
426,Uttar Pradesh,Dhaurahra,REKHA VERMA,GEN,GEN,BJP,Lotus,160611
427,Uttar Pradesh,Basti,HARISH CHANDRA ALIAS HARISH DWIVEDI,GEN,GEN,BJP,Lotus,30354
428,Uttar Pradesh,Sant Kabir Nagar,PRAVEEN KUMAR NISHAD,GEN,GEN,BJP,Lotus,35749
429,Uttar Pradesh,Sitapur,Rajesh Verma,GEN,GEN,BJP,Lotus,100833
430,Uttar Pradesh,Maharajganj,PANKAJ CHOUDHARY,GEN,GEN,BJP,Lotus,340424
431,Uttar Pradesh,Hardoi,Jai Prakash,SC,SC,BJP,Lotus,132474
432,Uttar Pradesh,Misrikh,Ashok Kumar Rawat,SC,SC,BJP,Lotus,100672
433,Uttar Pradesh,Gorakhpur,Ravindra Shyamnarayan Shukla alias Ravi Kishan,GEN,GEN,BJP,Lotus,301664
434,Uttar Pradesh,Unnao,Swami Sakshi Ji Maharaj,GEN,GEN,BJP,Lotus,400956
435,Uttar Pradesh,Kushi Nagar,VIJAY KUMAR DUBEY,GEN,GEN,BJP,Lotus,337560
436,Uttar Pradesh,Saharanpur,HAJI FAZLUR REHMAN,GEN,GEN,BSP,Elephant,22417
437,Uttar Pradesh,Kairana,Pradeep Kumar,GEN,GEN,BJP,Lotus,92160
438,Uttar Pradesh,Mohanlalganj,Kaushal Kishore,SC,SC,BJP,Lotus,90204
439,Uttar Pradesh,Deoria,RAMAPATI RAM TRIPATHI,GEN,GEN,BJP,Lotus,249931
440,Uttar Pradesh,Muzaffarnagar,Sanjeev Kumar Balyan,GEN,GEN,BJP,Lotus,6526
441,Uttar Pradesh,Lucknow,Rajnath Singh,GEN,GEN,BJP,Lotus,347302
442,Uttar Pradesh,Bansgaon,Kamlesh Paswan,SC,SC,BJP,Lotus,153468
443,Uttar Pradesh,Bijnor,MALOOK NAGAR,GEN,GEN,BSP,Elephant,69941
444,Uttar Pradesh,Rae Bareli,SONIA GANDHI,GEN,GEN,INC,Hand,167178
445,Uttar Pradesh,Lalganj,Sangeeta Azad,SC,SC,BSP,Elephant,161597
446,Uttar Pradesh,Nagina,GIRISH CHANDRA,SC,SC,BSP,Elephant,166832
447,Uttar Pradesh,Amethi,Smriti Irani,GEN,GEN,BJP,Lotus,55120
448,Uttar Pradesh,Azamgarh,Akhilesh Yadav,GEN,GEN,SP,Bicycle,259874
449,Uttar Pradesh,Moradabad,Dr. S.T. HASAN,GEN,GEN,SP,Bicycle,97878
450,Uttar Pradesh,Sultanpur,MANEKA SANJAI GANDHI,GEN,GEN,BJP,Lotus,14526
451,Uttar Pradesh,Ghosi,ATUL KUMAR SINGH,GEN,GEN,BSP,Elephant,122568
452,Uttar Pradesh,Rampur,Mohammad Azam Khan,GEN,GEN,SP,Bicycle,109997
453,Uttar Pradesh,Pratapgarh,SANGAM LAL GUPTA,GEN,GEN,BJP,Lotus,117752
454,Uttar Pradesh,Salempur,RAVINDER,GEN,GEN,BJP,Lotus,112615
455,Uttar Pradesh,Sambhal,DR. SHAFIQUR REHMAN BARQ,GEN,GEN,SP,Bicycle,174826
456,Uttar Pradesh,Farrukhabad,Mukesh Rajput,GEN,GEN,BJP,Lotus,221702
457,Uttar Pradesh,Ballia,Virendra Singh,GEN,GEN,BJP,Lotus,15519
458,Uttar Pradesh,Amroha,KUNWAR DANISH ALI,GEN,GEN,BSP,Elephant,63248
459,Uttar Pradesh,Etawah,Dr RAM SHANKAR KATHERIA,SC,SC,BJP,Lotus,64437
460,Uttar Pradesh,Jaunpur,SHYAM SINGH YADAV,GEN,GEN,BSP,Elephant,80936
461,Uttar Pradesh,Meerut,RAJENDRA AGARWAL,GEN,GEN,BJP,Lotus,4729
462,Uttar Pradesh,Kannauj,SUBRAT PATHAK,GEN,GEN,BJP,Lotus,12353
463,Uttar Pradesh,Machhlishahr,Bholanath (B.P. Saroj),SC,SC,BJP,Lotus,181
464,Uttar Pradesh,Baghpat,Dr. SATYAPAL SINGH,GEN,GEN,BJP,Lotus,23502
465,Uttar Pradesh,Kanpur,Satyadev Pachauri,GEN,GEN,BJP,Lotus,155934
466,Uttar Pradesh,Ghazipur,AFZAL ANSARI,GEN,GEN,BSP,Elephant,119392
467,Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,GEN,GEN,BJP,Lotus,501500
468,Uttar Pradesh,Akbarpur,Devendra Singh 'Bhole',GEN,GEN,BJP,Lotus,275142
469,Uttar Pradesh,Chandauli,Dr. Mahendra Nath Pandey,GEN,GEN,BJP,Lotus,13959
470,Uttar Pradesh,Varanasi,NARENDRA MODI,GEN,GEN,BJP,Lotus,479505
471,Uttar Pradesh,Gautam Buddha Nagar,Dr. MAHESH SHARMA,GEN,GEN,BJP,Lotus,336922
472,Uttar Pradesh,Jalaun,BHANU PRATAP SINGH VERMA,SC,SC,BJP,Lotus,158377
473,Uttar Pradesh,Bhadohi,RAMESH CHAND,GEN,GEN,BJP,Lotus,43615
474,Uttar Pradesh,Bulandshahr,BHOLA SINGH,SC,SC,BJP,Lotus,290057
475,Uttar Pradesh,Jhansi,Anurag Sharma,GEN,GEN,BJP,Lotus,365683
476,Uttar Pradesh,Hamirpur,KUNWAR PUSHPENDRA SINGH CHANDEL,GEN,GEN,BJP,Lotus,248652
477,Uttar Pradesh,Mirzapur,Anupriya Singh Patel,GEN,GEN,ADAL,Cup & Saucer,232008
478,Uttar Pradesh,Aligarh,SATISH KUMAR GAUTAM,GEN,GEN,BJP,Lotus,229261
479,Uttar Pradesh,Banda,R.K. SINGH PATEL,GEN,GEN,BJP,Lotus,58938
480,Uttar Pradesh,Robertsganj,PAKAURI LAL KOL,SC,SC,ADAL,Cup & Saucer,54336
481,Uttar Pradesh,Hathras,RAJVIR DILER,SC,SC,BJP,Lotus,260208
482,Uttar Pradesh,Mathura,HEMA MALINI,GEN,GEN,BJP,Lotus,293471
483,Uttar Pradesh,Fatehpur,NIRANJAN JYOTI,GEN,GEN,BJP,Lotus,198205
484,Uttar Pradesh,Agra,Satyapal Singh Baghel,SC,SC,BJP,Lotus,211546
485,Uttar Pradesh,Kaushambi,VINOD KUMAR SONKAR,SC,SC,BJP,Lotus,38722
486,Uttar Pradesh,Fatehpur Sikri,RAJKUMAR CHAHAR,GEN,GEN,BJP,Lotus,495065
487,Uttar Pradesh,Phulpur,Keshari Devi Patel,GEN,GEN,BJP,Lotus,171968
488,Uttar Pradesh,Firozabad,Dr. Chandra Sen Jadon,GEN,GEN,BJP,Lotus,28781
489,Uttar Pradesh,Allahabad,Rita Bahuguna Joshi,GEN,GEN,BJP,Lotus,184275
490,Uttar Pradesh,Mainpuri,MULAYAM SINGH YADAV,GEN,GEN,SP,Bicycle,94389
491,Uttar Pradesh,Barabanki,Upendra Singh Rawat,SC,SC,BJP,Lotus,110140
492,Uttar Pradesh,Etah,Rajveer Singh (Raju Bhaiya),GEN,GEN,BJP,Lotus,122670
493,Uttar Pradesh,Faizabad,LALLU SINGH,GEN,GEN,BJP,Lotus,65477
494,Uttar Pradesh,Badaun,Dr. Sanghmitra Maurya,GEN,GEN,BJP,Lotus,18454
495,Uttar Pradesh,Ambedkar Nagar,Ritesh Pandey,GEN,GEN,BSP,Elephant,95880
496,Uttarakhand,Hardwar,Ramesh Pokhriyal 'Nishank',GEN,GEN,BJP,Lotus,258729
497,Uttarakhand,Tehri Garhwal,MALA RAJYA LAXMI SHAH,GEN,GEN,BJP,Lotus,300586
498,Uttarakhand,Garhwal,Tirath Singh Rawat,GEN,GEN,BJP,Lotus,302669
499,Uttarakhand,Almora,Ajay Tamta,SC,SC,BJP,Lotus,232986
500,Uttarakhand,Nainital-udhamsingh Nagar,Ajay Bhatt,GEN,GEN,BJP,Lotus,339096
501,West Bengal,Maldaha Dakshin,ABU HASEM KHAN CHOWDHURY (DALU),GEN,GEN,INC,Hand,8222
502,West Bengal,Asansol,BABUL SUPRIYO,GEN,GEN,BJP,Lotus,197637
503,West Bengal,Jangipur,KHALILUR RAHAMAN,GEN,GEN,AITC,Flowers and Grass,245782
504,West Bengal,Bolpur,ASIT KUMAR MAL,SC,SC,AITC,Flowers and Grass,106402
505,West Bengal,Birbhum,SATABDI ROY,GEN,GEN,AITC,Flowers and Grass,88924
506,West Bengal,Baharampur,ADHIR RANJAN CHOWDHURY,GEN,GEN,INC,Hand,80696
507,West Bengal,Murshidabad,ABU TAHER KHAN,GEN,GEN,AITC,Flowers and Grass,226417
508,West Bengal,Krishnanagar,MAHUA MOITRA,GEN,GEN,AITC,Flowers and Grass,63218
509,West Bengal,Ranaghat,JAGANNATH SARKAR,SC,SC,BJP,Lotus,233428
510,West Bengal,Bangaon,SHANTANU THAKUR,SC,SC,BJP,Lotus,111594
511,West Bengal,Barrackpore,ARJUN SINGH,GEN,GEN,BJP,Lotus,14857
512,West Bengal,Dum dum,SOUGATA RAY,GEN,GEN,AITC,Flowers and Grass,53002
513,West Bengal,Barasat,Dr. Kakoli Ghoshdastidar,GEN,GEN,AITC,Flowers and Grass,110169
514,West Bengal,Basirhat,Nusrat Jahan Ruhi,GEN,GEN,AITC,Flowers and Grass,350369
515,West Bengal,Jaynagar,PRATIMA MONDAL,SC,SC,AITC,Flowers and Grass,316775
516,West Bengal,Mathurapur,CHOUDHURY MOHAN JATUA,SC,SC,AITC,Flowers and Grass,203974
517,West Bengal,Diamond harbour,ABHISHEK BANERJEE,GEN,GEN,AITC,Flowers and Grass,320594
518,West Bengal,Jadavpur,MIMI CHAKRABORTY,GEN,GEN,AITC,Flowers and Grass,295239
519,West Bengal,Kolkata Dakshin,Mala Roy,GEN,GEN,AITC,Flowers and Grass,155192
520,West Bengal,Kolkata Uttar,BANDYOPADHYAY SUDIP,GEN,GEN,AITC,Flowers and Grass,127095
521,West Bengal,Howrah,Prasun Banerjee,GEN,GEN,AITC,Flowers and Grass,103695
522,West Bengal,Uluberia,SAJDA AHMED,GEN,GEN,AITC,Flowers and Grass,215359
523,West Bengal,Srerampur,KALYAN BANERJEE,GEN,GEN,AITC,Flowers and Grass,98536
524,West Bengal,Hooghly,LOCKET CHATTERJEE,GEN,GEN,BJP,Lotus,73362
525,West Bengal,Arambagh,APARUPA PODDAR (AFRIN ALI),SC,SC,AITC,Flowers and Grass,1142
526,West Bengal,Tamluk,Adhikari Dibyendu,GEN,GEN,AITC,Flowers and Grass,190165
527,West Bengal,Kanthi,Adhikari Sisir,GEN,GEN,AITC,Flowers and Grass,111668
528,West Bengal,Ghatal,ADHIKARI DEEPAK (DEV),GEN,GEN,AITC,Flowers and Grass,107973
529,West Bengal,Cooch behar,NISITH PRAMANIK,SC,SC,BJP,Lotus,54231
530,West Bengal,Jhargram,Kunar Hembram,ST,ST,BJP,Lotus,11767
531,West Bengal,Alipurduars,JOHN BARLA,ST,ST,BJP,Lotus,243989
532,West Bengal,Medinipur,Dilip Ghosh,GEN,GEN,BJP,Lotus,88952
533,West Bengal,Jalpaiguri,Dr. JAYANTA KUMAR ROY,SC,SC,BJP,Lotus,184004
534,West Bengal,Purulia,JYOTIRMAY SINGH MAHATO,GEN,GEN,BJP,Lotus,204732
535,West Bengal,Darjeeling,RAJU BISTA,GEN,GEN,BJP,Lotus,413443
536,West Bengal,Bankura,DR. SUBHAS SARKAR,GEN,GEN,BJP,Lotus,174333
537,West Bengal,Raiganj,DEBASREE CHAUDHURI,GEN,GEN,BJP,Lotus,60574
538,West Bengal,Bishnupur,KHAN SAUMITRA,SC,SC,BJP,Lotus,78047
539,West Bengal,Balurghat,Sukanta Majumdar,GEN,GEN,BJP,Lotus,33293
540,West Bengal,Bardhaman Purba,SUNIL KUMAR MONDAL,SC,SC,AITC,Flowers and Grass,89311
541,West Bengal,Maldaha Uttar,KHAGEN MURMU,GEN,GEN,BJP,Lotus,84288
542,West Bengal,Bardhaman Durgapur,S.S AHLUWALIA,GEN,GEN,BJP,Lotus,2439
,,,,,,,,
,,,,,,,,
,,,,,,,,
Disclaimer,,,,,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,,,,
