date,value
28/04/2013,135.98
29/04/2013,147.49
30/04/2013,146.93
01/05/2013,139.89
02/05/2013,125.6
03/05/2013,108.13
04/05/2013,115
05/05/2013,118.8
06/05/2013,124.66
07/05/2013,113.44
08/05/2013,115.78
09/05/2013,113.46
10/05/2013,122
11/05/2013,118.68
12/05/2013,117.45
13/05/2013,118.7
14/05/2013,119.8
15/05/2013,115.81
16/05/2013,118.76
17/05/2013,125.3
18/05/2013,125.25
19/05/2013,124.5
20/05/2013,123.62
21/05/2013,123
22/05/2013,124
23/05/2013,126.93
24/05/2013,133.85
25/05/2013,133.22
26/05/2013,136
27/05/2013,135.47
28/05/2013,130.58
29/05/2013,132.59
30/05/2013,132.25
31/05/2013,129.9
01/06/2013,129.78
02/06/2013,129.4
03/06/2013,122.5
04/06/2013,123.84
05/06/2013,123.47
06/06/2013,123.1
07/06/2013,119
08/06/2013,111.42
09/06/2013,108.99
10/06/2013,110.1
11/06/2013,109.6
12/06/2013,111.79
13/06/2013,110.3
14/06/2013,104.7
15/06/2013,103.7
16/06/2013,101.6
17/06/2013,102.21
18/06/2013,111.11
19/06/2013,110.22
20/06/2013,114.3
21/06/2013,114.99
22/06/2013,109.96
23/06/2013,108.8
24/06/2013,108.33
25/06/2013,106.47
26/06/2013,105.49
27/06/2013,104
28/06/2013,101.74
29/06/2013,99.99
30/06/2013,98.12
01/07/2013,97.66
02/07/2013,92.3
03/07/2013,90.98
04/07/2013,83.11
05/07/2013,80
06/07/2013,75
07/07/2013,74.56
08/07/2013,80
09/07/2013,78.3
10/07/2013,87
11/07/2013,90.28
12/07/2013,104
13/07/2013,98.25
14/07/2013,98.7
15/07/2013,101.9
16/07/2013,99.86
17/07/2013,99.97
18/07/2013,98.8
19/07/2013,95.2
20/07/2013,93.1
21/07/2013,91.95
22/07/2013,92
23/07/2013,96.82
24/07/2013,95.99
25/07/2013,97.33
26/07/2013,97.47
27/07/2013,97
28/07/2013,100.58
29/07/2013,102.5
30/07/2013,107.99
31/07/2013,111.34
01/08/2013,108
02/08/2013,108
03/08/2013,105.78
04/08/2013,105.95
05/08/2013,107.77
06/08/2013,107.38
07/08/2013,106.75
08/08/2013,106.75
09/08/2013,105.75
10/08/2013,103.9
11/08/2013,105.19
12/08/2013,108
13/08/2013,109.35
14/08/2013,115
15/08/2013,113.25
16/08/2013,112.3
17/08/2013,113.75
18/08/2013,114.69
19/08/2013,123.06
20/08/2013,123.01
21/08/2013,124.91
22/08/2013,123.5
23/08/2013,122
24/08/2013,121.39
25/08/2013,122.99
26/08/2013,122.75
27/08/2013,127.24
28/08/2013,127.32
29/08/2013,123.7
30/08/2013,135.75
31/08/2013,140.89
01/09/2013,145.81
02/09/2013,146.5
03/09/2013,138.34
04/09/2013,144.5
05/09/2013,131.44
06/09/2013,127.34
07/09/2013,125.94
08/09/2013,124.72
09/09/2013,129.06
10/09/2013,129.74
11/09/2013,137.83
12/09/2013,136.08
13/09/2013,137.58
14/09/2013,135.85
15/09/2013,131.44
16/09/2013,132.72
17/09/2013,132.76
18/09/2013,133.2
19/09/2013,131.77
20/09/2013,135.62
21/09/2013,128.61
22/09/2013,133.94
23/09/2013,132.72
24/09/2013,127.46
25/09/2013,129.69
26/09/2013,134.93
27/09/2013,134.74
28/09/2013,135.63
29/09/2013,140.61
30/09/2013,138.35
01/10/2013,134.63
02/10/2013,133.59
03/10/2013,123.63
04/10/2013,130.09
05/10/2013,130.44
06/10/2013,129.66
07/10/2013,130.27
08/10/2013,127.47
09/10/2013,131.75
10/10/2013,131.5
11/10/2013,131.81
12/10/2013,135.66
13/10/2013,138.66
14/10/2013,144.12
15/10/2013,145.39
16/10/2013,152.23
17/10/2013,147.42
18/10/2013,155.96
19/10/2013,177.48
20/10/2013,174.91
21/10/2013,184.82
22/10/2013,196.27
23/10/2013,213.62
24/10/2013,217.42
25/10/2013,198.87
26/10/2013,188.41
27/10/2013,196.44
28/10/2013,198.62
29/10/2013,204.79
30/10/2013,209.16
31/10/2013,205.18
01/11/2013,206.65
02/11/2013,207.76
03/11/2013,215.05
04/11/2013,231.01
05/11/2013,250.66
06/11/2013,263
07/11/2013,304.17
08/11/2013,338.66
09/11/2013,370.82
10/11/2013,350.7
11/11/2013,351.27
12/11/2013,362.81
13/11/2013,414.05
14/11/2013,425.9
15/11/2013,437.89
16/11/2013,450.26
17/11/2013,500.58
18/11/2013,703.78
19/11/2013,806.11
20/11/2013,599.65
21/11/2013,733.4
22/11/2013,780.85
23/11/2013,844.97
24/11/2013,807.36
25/11/2013,810.68
26/11/2013,928.54
27/11/2013,1001.96
28/11/2013,1077.56
29/11/2013,1146.97
30/11/2013,1156.14
01/12/2013,1133.08
02/12/2013,1055.42
03/12/2013,1096
04/12/2013,1156.12
05/12/2013,1154.36
06/12/2013,1042.38
07/12/2013,854.64
08/12/2013,802.51
09/12/2013,921.93
10/12/2013,997.23
11/12/2013,1001.58
12/12/2013,901.94
13/12/2013,941.79
14/12/2013,904.65
15/12/2013,886.16
16/12/2013,882.25
17/12/2013,754.83
18/12/2013,679.32
19/12/2013,707.23
20/12/2013,729.16
21/12/2013,654.27
22/12/2013,666.74
23/12/2013,680.91
24/12/2013,684.39
25/12/2013,682.7
26/12/2013,777.75
27/12/2013,777.51
28/12/2013,747.06
29/12/2013,748.61
30/12/2013,766.6
31/12/2013,760.58
01/01/2014,775.35
02/01/2014,820.31
03/01/2014,834.15
04/01/2014,859.51
05/01/2014,952.4
06/01/2014,1017.12
07/01/2014,965.74
08/01/2014,870.68
09/01/2014,864.36
10/01/2014,871.19
11/01/2014,921.48
12/01/2014,928.52
13/01/2014,861.29
14/01/2014,855.69
15/01/2014,872.81
16/01/2014,866.16
17/01/2014,842.91
18/01/2014,841.49
19/01/2014,870.96
20/01/2014,886.39
21/01/2014,881.2
22/01/2014,870.15
23/01/2014,851.57
24/01/2014,822.43
25/01/2014,861.45
26/01/2014,897.02
27/01/2014,893
28/01/2014,832.5
29/01/2014,836.87
30/01/2014,830.5
31/01/2014,831.87
01/02/2014,853.52
02/02/2014,844.72
03/02/2014,826.48
04/02/2014,840.17
05/02/2014,837.32
06/02/2014,819.81
07/02/2014,783.2
08/02/2014,721.82
09/02/2014,712.27
10/02/2014,703.71
11/02/2014,712.46
12/02/2014,672.9
13/02/2014,657.99
14/02/2014,691.72
15/02/2014,661.84
16/02/2014,665.1
17/02/2014,656.95
18/02/2014,645.76
19/02/2014,631.77
20/02/2014,627.73
21/02/2014,582.96
22/02/2014,614.48
23/02/2014,639.91
24/02/2014,607.61
25/02/2014,541.38
26/02/2014,603.8
27/02/2014,594.05
28/02/2014,584.14
01/03/2014,573.38
02/03/2014,570.48
03/03/2014,702.91
04/03/2014,696.22
05/03/2014,674.28
06/03/2014,669.77
07/03/2014,665.34
08/03/2014,635.14
09/03/2014,643.95
10/03/2014,644.76
11/03/2014,638.42
12/03/2014,648.03
13/03/2014,644.2
14/03/2014,639.53
15/03/2014,639.14
16/03/2014,637.52
17/03/2014,632.68
18/03/2014,622.39
19/03/2014,622
20/03/2014,609.75
21/03/2014,604.59
22/03/2014,572.55
23/03/2014,570.24
24/03/2014,586.56
25/03/2014,585.44
26/03/2014,590.03
27/03/2014,580.56
28/03/2014,526.02
29/03/2014,504.86
30/03/2014,492.37
31/03/2014,483.02
01/04/2014,495.34
02/04/2014,495.05
03/04/2014,449.56
04/04/2014,454.65
05/04/2014,463.57
06/04/2014,466.32
07/04/2014,462.56
08/04/2014,457.42
09/04/2014,455.73
10/04/2014,443.37
11/04/2014,429.77
12/04/2014,439.61
13/04/2014,427.4
14/04/2014,469.75
15/04/2014,519
16/04/2014,542.38
17/04/2014,533.52
18/04/2014,498.6
19/04/2014,503.56
20/04/2014,510.87
21/04/2014,510.57
22/04/2014,503.22
23/04/2014,493.25
24/04/2014,500.46
25/04/2014,500.3
26/04/2014,464.54
27/04/2014,459.33
28/04/2014,447.53
29/04/2014,451.64
30/04/2014,451.1
01/05/2014,460.61
02/05/2014,457.93
03/05/2014,449.4
04/05/2014,439.77
05/05/2014,440.97
06/05/2014,448.04
07/05/2014,446.13
08/05/2014,448.4
09/05/2014,452.69
10/05/2014,455.77
11/05/2014,455.34
12/05/2014,442.26
13/05/2014,441.98
14/05/2014,446.66
15/05/2014,449.8
16/05/2014,450.66
17/05/2014,451.98
18/05/2014,449.77
19/05/2014,447.56
20/05/2014,491.44
21/05/2014,494.37
22/05/2014,525.36
23/05/2014,541.96
24/05/2014,525.17
25/05/2014,576.48
26/05/2014,588.39
27/05/2014,589.52
28/05/2014,578.62
29/05/2014,577.1
30/05/2014,618.46
31/05/2014,624.72
01/06/2014,671.51
02/06/2014,665.5
03/06/2014,674.11
04/06/2014,668.56
05/06/2014,663.53
06/06/2014,661.37
07/06/2014,656.94
08/06/2014,658.88
09/06/2014,657.7
10/06/2014,659.62
11/06/2014,657.04
12/06/2014,638.11
13/06/2014,615.14
14/06/2014,601.27
15/06/2014,592.94
16/06/2014,608.72
17/06/2014,610.89
18/06/2014,615.88
19/06/2014,612.24
20/06/2014,599.75
21/06/2014,599.46
22/06/2014,606
23/06/2014,603.21
24/06/2014,596.97
25/06/2014,583.6
26/06/2014,581.63
27/06/2014,600.12
28/06/2014,604.47
29/06/2014,604.08
30/06/2014,645.15
01/07/2014,657.86
02/07/2014,656.68
03/07/2014,650.77
04/07/2014,648.43
05/07/2014,633.22
06/07/2014,638.65
07/07/2014,637.16
08/07/2014,626.7
09/07/2014,627
10/07/2014,626.12
11/07/2014,632.09
12/07/2014,636.66
13/07/2014,634.73
14/07/2014,627.34
15/07/2014,625.14
16/07/2014,623.09
17/07/2014,626.29
18/07/2014,629.21
19/07/2014,629.17
20/07/2014,628.56
21/07/2014,624.09
22/07/2014,624.3
23/07/2014,624.43
24/07/2014,620.43
25/07/2014,607.07
26/07/2014,602.09
27/07/2014,598.94
28/07/2014,594.57
29/07/2014,588.38
30/07/2014,585.12
31/07/2014,586.24
01/08/2014,597.92
02/08/2014,594.91
03/08/2014,589.15
04/08/2014,591.95
05/08/2014,589.87
06/08/2014,587.49
07/08/2014,591.1
08/08/2014,598.12
09/08/2014,592.47
10/08/2014,594.46
11/08/2014,591.51
12/08/2014,576.95
13/08/2014,573.03
14/08/2014,546.24
15/08/2014,518.18
16/08/2014,521.48
17/08/2014,520.19
18/08/2014,499.37
19/08/2014,485.71
20/08/2014,518.28
21/08/2014,531.9
22/08/2014,521.48
23/08/2014,514.3
24/08/2014,512.89
25/08/2014,508.22
26/08/2014,512.69
27/08/2014,520.71
28/08/2014,516.16
29/08/2014,511.69
30/08/2014,509.31
31/08/2014,504.88
01/09/2014,485.31
02/09/2014,482.99
03/09/2014,481.71
04/09/2014,493.93
05/09/2014,490.64
06/09/2014,488.6
07/09/2014,488.07
08/09/2014,489.83
09/09/2014,477.38
10/09/2014,487.47
11/09/2014,482.35
12/09/2014,479.63
13/09/2014,482.12
14/09/2014,479.85
15/09/2014,478.62
16/09/2014,475.64
17/09/2014,468.17
18/09/2014,456.86
19/09/2014,427.83
20/09/2014,423.3
21/09/2014,412.43
22/09/2014,406.92
23/09/2014,441.56
24/09/2014,436.11
25/09/2014,423.52
26/09/2014,414.94
27/09/2014,406.62
28/09/2014,401.02
29/09/2014,385.21
30/09/2014,390.98
01/10/2014,391.38
02/10/2014,385.5
03/10/2014,377.69
04/10/2014,364.49
05/10/2014,341.8
06/10/2014,345.13
07/10/2014,339.25
08/10/2014,354.36
09/10/2014,382.73
10/10/2014,375.07
11/10/2014,367.19
12/10/2014,379.43
13/10/2014,397.23
14/10/2014,411.7
15/10/2014,402.23
16/10/2014,398.81
17/10/2014,385.48
18/10/2014,395.16
19/10/2014,393.94
20/10/2014,390.08
21/10/2014,392.65
22/10/2014,388.58
23/10/2014,385.05
24/10/2014,364.35
25/10/2014,359.86
26/10/2014,359.22
27/10/2014,358.63
28/10/2014,359.98
29/10/2014,357.83
30/10/2014,350.91
31/10/2014,348.05
01/11/2014,340.53
02/11/2014,329.05
03/11/2014,334
04/11/2014,331.77
05/11/2014,343.37
06/11/2014,352.97
07/11/2014,352.73
08/11/2014,347.03
09/11/2014,363.63
10/11/2014,374.82
11/11/2014,371.31
12/11/2014,429.72
13/11/2014,457.09
14/11/2014,419.25
15/11/2014,405.53
16/11/2014,390.8
17/11/2014,410.2
18/11/2014,392.4
19/11/2014,386.48
20/11/2014,382.02
21/11/2014,357.88
22/11/2014,364.84
23/11/2014,370.85
24/11/2014,387.21
25/11/2014,394.7
26/11/2014,377.7
27/11/2014,373.99
28/11/2014,382.84
29/11/2014,387.6
30/11/2014,382.53
01/12/2014,383.66
02/12/2014,384.04
03/12/2014,383.03
04/12/2014,378.65
05/12/2014,379.19
06/12/2014,378.45
07/12/2014,376.29
08/12/2014,376.03
09/12/2014,363.07
10/12/2014,352.38
11/12/2014,361.36
12/12/2014,352.98
13/12/2014,352.38
14/12/2014,353.32
15/12/2014,351.81
16/12/2014,345.86
17/12/2014,333.95
18/12/2014,323.71
19/12/2014,318.53
20/12/2014,330.32
21/12/2014,329.63
22/12/2014,334.12
23/12/2014,336.29
24/12/2014,334.74
25/12/2014,322.67
26/12/2014,331.42
27/12/2014,328.91
28/12/2014,320.03
29/12/2014,320.27
30/12/2014,314.81
31/12/2014,320.19
01/01/2015,320.44
02/01/2015,315.84
03/01/2015,315.15
04/01/2015,287.23
05/01/2015,278.34
06/01/2015,287.55
07/01/2015,298.75
08/01/2015,294.13
09/01/2015,291.11
10/01/2015,288.13
11/01/2015,279.64
12/01/2015,272.2
13/01/2015,268.28
14/01/2015,223.89
15/01/2015,229.07
16/01/2015,221.59
17/01/2015,211.73
18/01/2015,218.69
19/01/2015,216.73
20/01/2015,215.24
21/01/2015,227.79
22/01/2015,237.02
23/01/2015,234.84
24/01/2015,248.21
25/01/2015,255.07
26/01/2015,309.38
27/01/2015,275.48
28/01/2015,266.54
29/01/2015,238.71
30/01/2015,242.85
31/01/2015,233.5
01/02/2015,231.57
02/02/2015,242.18
03/02/2015,245.96
04/02/2015,230.06
05/02/2015,239.41
06/02/2015,230.51
07/02/2015,230.3
08/02/2015,229.44
09/02/2015,223.98
10/02/2015,221.81
11/02/2015,223.41
12/02/2015,222.2
13/02/2015,240.26
14/02/2015,259.81
15/02/2015,265.61
16/02/2015,239.52
17/02/2015,245.78
18/02/2015,244.25
19/02/2015,242.67
20/02/2015,247.1
21/02/2015,255.32
22/02/2015,246.39
23/02/2015,240.11
24/02/2015,239.9
25/02/2015,239.34
26/02/2015,237.71
27/02/2015,256.65
28/02/2015,254.69
01/03/2015,261.66
02/03/2015,276.3
03/03/2015,285.8
04/03/2015,284.23
05/03/2015,281.67
06/03/2015,277.61
07/03/2015,277.85
08/03/2015,277.86
09/03/2015,292.7
10/03/2015,300.04
11/03/2015,297.39
12/03/2015,297.09
13/03/2015,294.5
14/03/2015,286.34
15/03/2015,286.53
16/03/2015,294.11
17/03/2015,292.37
18/03/2015,285.34
19/03/2015,264.24
20/03/2015,264.85
21/03/2015,262.2
22/03/2015,269.75
23/03/2015,277.3
24/03/2015,267
25/03/2015,249.19
26/03/2015,254.35
27/03/2015,256.81
28/03/2015,254.21
29/03/2015,253.14
30/03/2015,249.24
31/03/2015,248.73
01/04/2015,247.54
02/04/2015,254.46
03/04/2015,256.04
04/04/2015,255.26
05/04/2015,260.68
06/04/2015,261.8
07/04/2015,255.81
08/04/2015,253.85
09/04/2015,246.12
10/04/2015,243.69
11/04/2015,239.54
12/04/2015,237.73
13/04/2015,236.94
14/04/2015,224.98
15/04/2015,223.83
16/04/2015,229.67
17/04/2015,228.91
18/04/2015,224.32
19/04/2015,226.35
20/04/2015,226.35
21/04/2015,235.27
22/04/2015,237.91
23/04/2015,236.47
24/04/2015,236.31
25/04/2015,232.56
26/04/2015,226.94
27/04/2015,233.31
28/04/2015,229.5
29/04/2015,227.04
30/04/2015,239.56
01/05/2015,238.97
02/05/2015,235.73
03/05/2015,243.24
04/05/2015,242.64
05/05/2015,239.2
06/05/2015,236.45
07/05/2015,239.1
08/05/2015,246.28
09/05/2015,247.8
10/05/2015,244.07
11/05/2015,244.27
12/05/2015,242.88
13/05/2015,243.7
14/05/2015,237.8
15/05/2015,238.75
16/05/2015,237.7
17/05/2015,238.03
18/05/2015,237.21
19/05/2015,234.15
20/05/2015,234.68
21/05/2015,236.24
22/05/2015,240.97
23/05/2015,241.03
24/05/2015,241.98
25/05/2015,241.02
26/05/2015,238.24
27/05/2015,238.64
28/05/2015,237.82
29/05/2015,237.52
30/05/2015,237.09
31/05/2015,233.25
01/06/2015,231.71
02/06/2015,226.42
03/06/2015,227.4
04/06/2015,226.58
05/06/2015,225.97
06/06/2015,225.72
07/06/2015,226.19
08/06/2015,229.46
09/06/2015,230.95
10/06/2015,229.78
11/06/2015,230.29
12/06/2015,231.06
13/06/2015,232.65
14/06/2015,234.86
15/06/2015,237.84
16/06/2015,251.74
17/06/2015,256.85
18/06/2015,252.11
19/06/2015,250.98
20/06/2015,245.83
21/06/2015,245.22
22/06/2015,247.92
23/06/2015,247.3
24/06/2015,244.34
25/06/2015,243.33
26/06/2015,243.75
27/06/2015,251.34
28/06/2015,251.17
29/06/2015,257.17
30/06/2015,267.87
01/07/2015,265.17
02/07/2015,261.63
03/07/2015,257.08
04/07/2015,261.46
05/07/2015,274.51
06/07/2015,277.42
07/07/2015,271.34
08/07/2015,272.97
09/07/2015,272.33
10/07/2015,294.59
11/07/2015,298.51
12/07/2015,314.39
13/07/2015,310.95
14/07/2015,296.15
15/07/2015,293.25
16/07/2015,291.18
17/07/2015,280.28
18/07/2015,282.53
19/07/2015,275.67
20/07/2015,278.98
21/07/2015,280.55
22/07/2015,277.67
23/07/2015,278.11
24/07/2015,289.25
25/07/2015,290.73
26/07/2015,293.05
27/07/2015,297.77
28/07/2015,296.65
29/07/2015,294.54
30/07/2015,290.13
31/07/2015,288.96
01/08/2015,284.93
02/08/2015,283.03
03/08/2015,285.47
04/08/2015,285.71
05/08/2015,285.5
06/08/2015,281.91
07/08/2015,280.39
08/08/2015,279.93
09/08/2015,267
10/08/2015,267.03
11/08/2015,270.39
12/08/2015,270.67
13/08/2015,266.23
14/08/2015,267.47
15/08/2015,266.67
16/08/2015,262.44
17/08/2015,260.5
18/08/2015,257.99
19/08/2015,237.41
20/08/2015,237.37
21/08/2015,236.43
22/08/2015,234.96
23/08/2015,232.71
24/08/2015,228.14
25/08/2015,226.32
26/08/2015,231.18
27/08/2015,228.64
28/08/2015,235.22
29/08/2015,233.22
30/08/2015,232.07
31/08/2015,231.96
01/09/2015,231.22
02/09/2015,230.58
03/09/2015,229.6
04/09/2015,230.9
05/09/2015,236.14
06/09/2015,242.91
07/09/2015,242.11
08/09/2015,245.78
09/09/2015,244.42
10/09/2015,241.29
11/09/2015,241.17
12/09/2015,240.12
13/09/2015,235.94
14/09/2015,232.44
15/09/2015,259.18
16/09/2015,231.22
17/09/2015,230.28
18/09/2015,234.35
19/09/2015,233.21
20/09/2015,232.37
21/09/2015,231.22
22/09/2015,232.39
23/09/2015,231.84
24/09/2015,235.65
25/09/2015,237.43
26/09/2015,235.4
27/09/2015,234.53
28/09/2015,239.34
29/09/2015,239.8
30/09/2015,237.73
01/10/2015,238.44
02/10/2015,238.54
03/10/2015,239.31
04/10/2015,238.97
05/10/2015,240.38
06/10/2015,246.94
07/10/2015,246.68
08/10/2015,244.25
09/10/2015,244.23
10/10/2015,245.32
11/10/2015,247.24
12/10/2015,247.45
13/10/2015,250.24
14/10/2015,254.28
15/10/2015,255.96
16/10/2015,266.13
17/10/2015,273.58
18/10/2015,271.67
19/10/2015,264.82
20/10/2015,270.83
21/10/2015,270.77
22/10/2015,276.51
23/10/2015,278.68
24/10/2015,281.71
25/10/2015,294.06
26/10/2015,285.3
27/10/2015,296.21
28/10/2015,306.33
29/10/2015,318.17
30/10/2015,334.17
31/10/2015,332.78
01/11/2015,327.47
02/11/2015,365.36
03/11/2015,417.9
04/11/2015,495.56
05/11/2015,447.56
06/11/2015,395.84
07/11/2015,390.59
